Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Carlos Gardel,Carlos Gardel,1912,El Almohadón,,Vals,Carlos Gardel,Columbia,Acoustic,56760-1,T638,José Betinotti,A. Cepeda,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1912,A Mitre,,Vals,Carlos Gardel,Columbia,Acoustic,56761-1,T730,P. Vazquez,J. Etchepare,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1917,Mi Noche Triste,,Tango,Carlos Gardel,Odeón,Acoustic,59,18847,Samuel Castriota,Pascual Contursi,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1918,Flor de Fango,,Tango,Carlos Gardel,Odeón,Acoustic,33,18012,A. Gentili,Pascual Contursi,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1919,Aurora,,Vals,Carlos Gardel Y José Razzano,Odeón,Acoustic,55,,"Carlos Gardel, José Razzano","Carlos Gardel, José Razzano",,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1919,Ay Elena,,Vals,Carlos Gardel Y José Razzano,Odeón,Acoustic,56,,"Carlos Gardel, José Razzano","Carlos Gardel, José Razzano",,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1919,Como Quiere la Madre a Sus Hijos,,Vals,Carlos Gardel,Odeón,Acoustic,59,,José Betinotti,José Betinotti,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1919,De Vuelta Al Bulín,,Tango,Carlos Gardel,Odeón,Acoustic,170,18020,J. Martinez,Pascual Contursi,,12-26 Acoustic,,,,,
Carlos Gardel,Dúo Gardel - Razzano,1920,En Vano en Vano,,Vals,Carlos Gardel Y José Razzano,Odeón,Acoustic,221,,"Carlos Gardel, José Razzano","Carlos Gardel, José Razzano",,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1920,Milongón,,Milonga,Carlos Gardel,Odeón,Acoustic,224,,A. Rio,A. Rio,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1920,Ivette,,Tango,Carlos Gardel,Odeón,Acoustic,226,,J. Martinez,Pascual Contursi,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1920,Muñequita,,Tango,Carlos Gardel,Odeón,Acoustic,262,,Francisco Lomuto,Adolfo Herschel,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1920,Milonguita,,Tango,Carlos Gardel,Odeón,Acoustic,326,,Enrique Delfino,Samuel Linning,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1920,Que Querés con Esa Cara,,Tango,Carlos Gardel,Odeón,Acoustic,341,,Eduardo Arolas,Pascual Contursi,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1920,La Catedrática,,Milonga,Carlos Gardel,Odeón,Acoustic,344,,Francisco Martino,Francisco Martino,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1920,Carne de Cabaret,,Tango,Carlos Gardel,Odeón,Acoustic,353,,P. Lambertucci,Luis Roldan,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1920,Pobre Paica,,Tango,Carlos Gardel,Odeón,Acoustic,354,,Juan Cobián,Pascual Contursi,,12-26 Acoustic,,,,,
Carlos Gardel,Dúo Gardel - Razzano,1920,Ausencia,,Vals,Carlos Gardel Y José Razzano,Odeón,Acoustic,375,,"Francisco Bianco, Carlos Gardel, José Razzano","Francisco Bianco, Carlos Gardel, José Razzano",,12-26 Acoustic,,,,,
Carlos Gardel,Dúo Gardel - Razzano,1921,Margot,,Tango,Carlos Gardel,Odeón,Acoustic,443,,J. Soria,C. Flores,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1921,Cielito Mío,,Tango,Carlos Gardel,Odeón,Acoustic,449,,O. Fresedo,E. Fresedo,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1921,Zorro Gris,,Tango,Carlos Gardel,Odeón,Acoustic,453,,Rafael Tuegols,Francisco Jiménez,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1921,El Pañuelito,,Tango,Carlos Gardel,Odeón,Acoustic,560,,J. De D. Filiberto,G. Coria Penaloza,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1921,La Percanta Está Triste,,Tango,Carlos Gardel,Odeón,Acoustic,571,,Vicente Greco,Vicente Greco,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1921,Muñequita de Lujo,,Tango,Carlos Gardel,Odeón,Acoustic,682,,Enrique Delfino,P. Cordoba,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1921,Qué Has Hecho de Mi Cariño,,Tango,Carlos Gardel,Odeón,Acoustic,683,,Juan Maglio,José Castillo,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1921,La Copa del Olvido,,Tango,Carlos Gardel,Odeón,Acoustic,691,,Enrique Delfino,Alberto Vaccarezza,,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1922,Contrastes,,Vals,Carlos Gardel Y José Razzano,Odeón,Acoustic,747,,"Carlos Gardel, José Razzano","Carlos Gardel, José Razzano",,12-26 Acoustic,,,,,
Carlos Gardel,Carlos Gardel,1922,Un Bailongo,,Milonga,Carlos Gardel,Odeón,Acoustic,748,,J. Soria,A. Cepeda,,12-26 Acoustic,,,,,
