Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disk,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Julio De Caro,Orquesta Típica De Caro,1929,Flor De Milonga,,Milonga,Instrumental,Brunswick,78rpm,BA 120,1207 B,Abel Bedrune,Emilio Magaldi,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
Julio De Caro,Orquesta Típica De Caro,1929,Yo Me Quiero Divertir,,Tango,Roberto Díaz,Brunswick,78rpm,BA 017,1201 A,Julio De Caro,Dante Linyera,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
Julio De Caro,Orquesta Típica De Caro,1929,Fantasías,,Tango,Instrumental,Brunswick,78rpm,BA 019,1202 B,Manlio Francia,,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
Julio De Caro,Orquesta Típica De Caro,1929,Dos Lunares,Nadie Sabe,Tango,Instrumental,Brunswick,78rpm,BA 021,1202 A,Francisco De Caro,María Carnelli,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
Julio De Caro,Orquesta Típica De Caro,1929,Boca Abierta,,Tango,Instrumental,Brunswick,78rpm,BA 024,1201 B,Adolfo Mondino,Víctor Soliño,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
Julio De Caro,Orquesta Típica De Caro,1929,El Diente,,Tango,Luis Díaz,Brunswick,78rpm,BA 025,1203 A,Julio De Caro,Oscar Lanatta,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
Julio De Caro,Orquesta Típica De Caro,1929,Luz Mala,,Tango,Instrumental,Brunswick,78rpm,BA 028,1203 B,Graciano De Leone,,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
Julio De Caro,Orquesta Típica De Caro,1929,Gaucha,,Tango,Luis Díaz,Brunswick,78rpm,BA 067,1204 A,Pedro Laurenz,Luis Rubinstein,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
Julio De Caro,Orquesta Típica De Caro,1929,Moulin Rouge,,Tango,Instrumental,Brunswick,78rpm,BA 069,1205 A,Julio De Caro,María Carnelli,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
Julio De Caro,Orquesta Típica De Caro,1929,Víctoria,,Tango,Instrumental,Brunswick,78rpm,BA 071,1204 B,Enrique Discépolo,Enrique Discépolo,,29-32 Sexteto Brunswick,Francisco De Caro,Olindo Sinibaldi,"Pedro Laurenz, Armando Blasco","Julio De Caro, Emilio De Caro","Piano, Bass, 2 Bandoneons, 2 Violins"
